Name,UserId,Social Account,Gender,Score,Comments count,Followers,Followings,Posts count
AlexChristin,60ebe6383583b555c24d52c0,,1,2064,0,4650,0,56
huonglydg57,6308c8583e9c460b1f285f76,,2,107,12,20,13,11
Eluzic_no_lezat,6367a6c5c2ee852d13760535,,1,83,37,13,0,14
Hahai1511,63e81adbabf0541d95f0a9ff,,1,3,4,0,10,1
Hoang_Nam,60ebe6da3583b555c24e374e,,1,724,125,93,13,226
Vananh1312003,6680d273ef0c08034b4949ee,,0,1,0,1,0,1
Minhthu1803,60ebe6723583b555c24da4d5,,2,171,0,0,0,34
mystorytakeaways,615289e96171fc19b619cbb4,,2,399,127,80,26,64
Phucam1999,60ebe6863583b555c24dc08f,,1,310,180,36,16,14
Sunny123,6597f75213deb5e10fc37efd,,0,5,6,0,1,2
lnnphwng,64a84380e653802bfda8091f,,2,9,2,5,7,4
vinhnguyen1994,60ebe6403583b555c24d5e66,,1,364,34,88,5,42
Tornad,60ebe6333583b555c24d4b68,,1,8991,0,6792,1,94
lynhkdaisy22,66817f94ef0c08034b494b12,,2,0,0,0,0,1
chaupham,6628c715da477fce1ebac057,,2,5,0,0,2,3
BlogcuaHazel,63f89dd95c8fac8ebead2c53,,2,25,3,2,2,5
dacvuong0902,60ebe6f73583b555c24e6069,,1,197,16,57,0,48
QuangNN,660b74cdda477fce1ebaa36c,,1,69,15,22,4,14
Haimy03,653e9b9be1565cb90a80fa22,,2,10,0,3,0,6
